OPPORTUNITY_ID,SALES_AGENT_NAME,MANAGER_NAME,REGIONAL_OFFICE,PRODUCT_NAME,ACCOUNT_NAME,DEAL_STAGE,ENGAGE_DATE,DEAL_AGE_DAYS,SALES_PRICE,CLOSE_VALUE_AMOUNT,DEAL_SIZE_BAND,PIPELINE_VALUE_ESTIMATE,DEAL_AGE_BAND,PIPELINE_HEALTH_STATUS
VPXW8RJS,Kami Bicknell,Summer Sewald,West,MG Advanced,,Engaging,2017-01-05,360,3393,,unknown,3393.00,180+ Days,stale_or_review
T7T1YIM7,Boris Faz,Rocco Neubert,East,GTX Plus Pro,,Engaging,2017-01-06,359,5482,,unknown,5482.00,180+ Days,stale_or_review
4JHY98UG,Cassey Cress,Rocco Neubert,East,GTX Basic,,Engaging,2017-01-07,358,550,,unknown,550.00,180+ Days,stale_or_review
G39V1X3G,Corliss Cosme,Cara Losch,East,MG Special,,Engaging,2017-01-07,358,55,,unknown,55.00,180+ Days,stale_or_review
EQCD7G7Q,Rosalina Dieter,Celia Rouche,West,GTX Basic,Initech,Engaging,2017-01-08,357,550,,unknown,550.00,180+ Days,stale_or_review
XYNTWPN1,Violet Mclelland,Cara Losch,East,MG Special,Rundofase,Engaging,2017-01-08,357,55,,unknown,55.00,180+ Days,stale_or_review
6Q67ZUJ1,Maureen Marcano,Summer Sewald,West,MG Special,,Engaging,2017-01-09,356,55,,unknown,55.00,180+ Days,stale_or_review
Y6UBZM6P,Vicki Laflamme,Celia Rouche,West,GTX Plus Pro,,Engaging,2017-01-09,356,5482,,unknown,5482.00,180+ Days,stale_or_review
RIW4VWBW,Hayden Neloms,Celia Rouche,West,GTX Plus Pro,,Engaging,2017-01-10,355,5482,,unknown,5482.00,180+ Days,stale_or_review
DWUD4S0P,Markita Hansen,Celia Rouche,West,GTX Basic,,Engaging,2017-01-10,355,550,,unknown,550.00,180+ Days,stale_or_review
MCE5DKD1,Markita Hansen,Celia Rouche,West,MG Special,Bioholding,Engaging,2017-01-10,355,55,,unknown,55.00,180+ Days,stale_or_review
RW39Y63V,Vicki Laflamme,Celia Rouche,West,GTXPro,,Engaging,2017-01-10,355,,,unknown,0.00,180+ Days,stale_or_review
8LW65NDL,Violet Mclelland,Cara Losch,East,GTX Plus Pro,,Engaging,2017-01-10,355,5482,,unknown,5482.00,180+ Days,stale_or_review
CJ2ON1LV,Corliss Cosme,Cara Losch,East,GTXPro,Nam-zim,Engaging,2017-01-11,354,,,unknown,0.00,180+ Days,stale_or_review
4I8X7EMW,Corliss Cosme,Cara Losch,East,GTXPro,,Engaging,2017-01-11,354,,,unknown,0.00,180+ Days,stale_or_review
LMOAYCUK,Kami Bicknell,Summer Sewald,West,GTX Plus Basic,Plusstrip,Engaging,2017-01-11,354,1096,,unknown,1096.00,180+ Days,stale_or_review
VCSHYIU8,Maureen Marcano,Summer Sewald,West,GTX Plus Basic,,Engaging,2017-01-12,353,1096,,unknown,1096.00,180+ Days,stale_or_review
0I6U3MQ6,Violet Mclelland,Cara Losch,East,GTX Basic,Funholding,Engaging,2017-01-12,353,550,,unknown,550.00,180+ Days,stale_or_review
WRUG19FZ,Hayden Neloms,Celia Rouche,West,MG Advanced,Vehement Capital Partners,Engaging,2017-01-13,352,3393,,unknown,3393.00,180+ Days,stale_or_review
UQQE9ILV,James Ascencio,Summer Sewald,West,GTXPro,Iselectrics,Engaging,2017-01-13,352,,,unknown,0.00,180+ Days,stale_or_review
W8CXDBQN,Vicki Laflamme,Celia Rouche,West,MG Special,,Engaging,2017-01-13,352,55,,unknown,55.00,180+ Days,stale_or_review
VKT0UN11,James Ascencio,Summer Sewald,West,MG Advanced,Codehow,Engaging,2017-01-14,351,3393,,unknown,3393.00,180+ Days,stale_or_review
JIACLB24,Vicki Laflamme,Celia Rouche,West,GTX Basic,Scottech,Engaging,2017-01-14,351,550,,unknown,550.00,180+ Days,stale_or_review
5VYJCJAE,Corliss Cosme,Cara Losch,East,GTX Plus Pro,Zoomit,Engaging,2017-01-15,350,5482,,unknown,5482.00,180+ Days,stale_or_review
BTUG5VDL,Corliss Cosme,Cara Losch,East,GTXPro,Inity,Engaging,2017-01-15,350,,,unknown,0.00,180+ Days,stale_or_review
CT3HBBI2,Elease Gluck,Celia Rouche,West,MG Special,Mathtouch,Engaging,2017-01-15,350,55,,unknown,55.00,180+ Days,stale_or_review
GR2X90DZ,Vicki Laflamme,Celia Rouche,West,GTX Basic,,Engaging,2017-01-15,350,550,,unknown,550.00,180+ Days,stale_or_review
S3W6Q07M,Kami Bicknell,Summer Sewald,West,GTX Plus Pro,Acme Corporation,Engaging,2017-01-16,349,5482,,unknown,5482.00,180+ Days,stale_or_review
K64TY8LU,Maureen Marcano,Summer Sewald,West,MG Special,,Engaging,2017-01-16,349,55,,unknown,55.00,180+ Days,stale_or_review
0OESOJNN,James Ascencio,Summer Sewald,West,GTX Plus Basic,Warephase,Engaging,2017-01-17,348,1096,,unknown,1096.00,180+ Days,stale_or_review
DZ57QIQN,Daniell Hammack,Rocco Neubert,East,GTX Plus Pro,,Engaging,2017-01-18,347,5482,,unknown,5482.00,180+ Days,stale_or_review
OZ5S8NCK,Kary Hendrixson,Summer Sewald,West,GTXPro,,Engaging,2017-01-18,347,,,unknown,0.00,180+ Days,stale_or_review
A4JROIDO,Vicki Laflamme,Celia Rouche,West,MG Special,,Engaging,2017-01-19,346,55,,unknown,55.00,180+ Days,stale_or_review
PMEENWD5,Corliss Cosme,Cara Losch,East,GTXPro,Globex Corporation,Engaging,2017-01-21,344,,,unknown,0.00,180+ Days,stale_or_review
Z1WLLL1H,Kami Bicknell,Summer Sewald,West,GTX Basic,,Engaging,2017-01-21,344,550,,unknown,550.00,180+ Days,stale_or_review
ETZKANFZ,Markita Hansen,Celia Rouche,West,GTX Basic,,Engaging,2017-01-21,344,550,,unknown,550.00,180+ Days,stale_or_review
PK1PS0KR,Rosie Papadopoulos,Cara Losch,East,MG Advanced,,Engaging,2017-01-22,343,3393,,unknown,3393.00,180+ Days,stale_or_review
RPONINLM,Vicki Laflamme,Celia Rouche,West,GTX Plus Basic,,Engaging,2017-01-23,342,1096,,unknown,1096.00,180+ Days,stale_or_review
F569KUVC,Kami Bicknell,Summer Sewald,West,GTX Basic,,Engaging,2017-01-24,341,550,,unknown,550.00,180+ Days,stale_or_review
PKDJTR06,Kami Bicknell,Summer Sewald,West,GTX Plus Basic,Hatfan,Engaging,2017-01-24,341,1096,,unknown,1096.00,180+ Days,stale_or_review
VYPYVO8V,Vicki Laflamme,Celia Rouche,West,GTX Basic,,Engaging,2017-01-24,341,550,,unknown,550.00,180+ Days,stale_or_review
1D54L027,Wilburn Farren,Cara Losch,East,MG Advanced,,Engaging,2017-01-25,340,3393,,unknown,3393.00,180+ Days,stale_or_review
CENVLTFH,Corliss Cosme,Cara Losch,East,GTX Plus Basic,Toughzap,Engaging,2017-01-28,337,1096,,unknown,1096.00,180+ Days,stale_or_review
4NGSQODD,James Ascencio,Summer Sewald,West,GTXPro,Blackzim,Engaging,2017-01-28,337,,,unknown,0.00,180+ Days,stale_or_review
5BE27MLY,Maureen Marcano,Summer Sewald,West,GTXPro,,Engaging,2017-01-28,337,,,unknown,0.00,180+ Days,stale_or_review
N5UIZYIV,Zane Levy,Summer Sewald,West,MG Special,Konmatfix,Engaging,2017-01-28,337,55,,unknown,55.00,180+ Days,stale_or_review
KBR253C0,Kami Bicknell,Summer Sewald,West,MG Advanced,,Engaging,2017-01-29,336,3393,,unknown,3393.00,180+ Days,stale_or_review
379DUF2N,Markita Hansen,Celia Rouche,West,GTX Basic,,Engaging,2017-01-29,336,550,,unknown,550.00,180+ Days,stale_or_review
67IKZGGJ,Maureen Marcano,Summer Sewald,West,GTX Plus Basic,,Engaging,2017-01-29,336,1096,,unknown,1096.00,180+ Days,stale_or_review
8YIANRVX,Zane Levy,Summer Sewald,West,GTXPro,,Engaging,2017-01-29,336,,,unknown,0.00,180+ Days,stale_or_review
A7SA2L21,Elease Gluck,Celia Rouche,West,GTK 500,,Engaging,2017-01-30,335,26768,,unknown,26768.00,180+ Days,stale_or_review
9W7PFSNX,Corliss Cosme,Cara Losch,East,GTX Basic,,Engaging,2017-01-31,334,550,,unknown,550.00,180+ Days,stale_or_review
XYLNH45V,Daniell Hammack,Rocco Neubert,East,GTX Plus Basic,Zathunicon,Engaging,2017-01-31,334,1096,,unknown,1096.00,180+ Days,stale_or_review
GVBWTDI3,Daniell Hammack,Rocco Neubert,East,GTX Plus Basic,,Engaging,2017-01-31,334,1096,,unknown,1096.00,180+ Days,stale_or_review
VFEV5XBS,Violet Mclelland,Cara Losch,East,GTX Plus Basic,,Engaging,2017-01-31,334,1096,,unknown,1096.00,180+ Days,stale_or_review
VN8LKQN3,Boris Faz,Rocco Neubert,East,GTX Plus Basic,,Engaging,2017-02-02,332,1096,,unknown,1096.00,180+ Days,stale_or_review
ZHY9C8OO,Kami Bicknell,Summer Sewald,West,GTX Plus Basic,,Engaging,2017-02-02,332,1096,,unknown,1096.00,180+ Days,stale_or_review
H2MC2E7K,Vicki Laflamme,Celia Rouche,West,GTX Plus Basic,Condax,Engaging,2017-02-02,332,1096,,unknown,1096.00,180+ Days,stale_or_review
OCGXWE8H,Vicki Laflamme,Celia Rouche,West,MG Special,,Engaging,2017-02-03,331,55,,unknown,55.00,180+ Days,stale_or_review
USVLKDF4,Corliss Cosme,Cara Losch,East,GTX Basic,Dontechi,Engaging,2017-02-04,330,550,,unknown,550.00,180+ Days,stale_or_review
JCPQZ2SN,Hayden Neloms,Celia Rouche,West,GTX Plus Basic,Cheers,Engaging,2017-02-04,330,1096,,unknown,1096.00,180+ Days,stale_or_review
HZIU2NOT,Kary Hendrixson,Summer Sewald,West,GTX Plus Pro,,Engaging,2017-02-04,330,5482,,unknown,5482.00,180+ Days,stale_or_review
YM8DBAFV,Cassey Cress,Rocco Neubert,East,GTX Basic,Sumace,Engaging,2017-02-05,329,550,,unknown,550.00,180+ Days,stale_or_review
RP7KA6HS,Elease Gluck,Celia Rouche,West,MG Special,Mathtouch,Engaging,2017-02-05,329,55,,unknown,55.00,180+ Days,stale_or_review
P9PFSLS6,Maureen Marcano,Summer Sewald,West,MG Special,,Engaging,2017-02-05,329,55,,unknown,55.00,180+ Days,stale_or_review
E4THD359,Wilburn Farren,Cara Losch,East,GTX Basic,,Engaging,2017-02-05,329,550,,unknown,550.00,180+ Days,stale_or_review
6VIK2VX8,Hayden Neloms,Celia Rouche,West,MG Special,Isdom,Engaging,2017-02-06,328,55,,unknown,55.00,180+ Days,stale_or_review
30R81VZX,Kami Bicknell,Summer Sewald,West,GTXPro,Zoomit,Engaging,2017-02-06,328,,,unknown,0.00,180+ Days,stale_or_review
TH9RV79M,Maureen Marcano,Summer Sewald,West,MG Special,,Engaging,2017-02-06,328,55,,unknown,55.00,180+ Days,stale_or_review
7VOW7BUJ,Cassey Cress,Rocco Neubert,East,GTXPro,,Engaging,2017-02-07,327,,,unknown,0.00,180+ Days,stale_or_review
2J5E145N,Daniell Hammack,Rocco Neubert,East,GTXPro,,Engaging,2017-02-07,327,,,unknown,0.00,180+ Days,stale_or_review
YFB7Y92U,Elease Gluck,Celia Rouche,West,GTK 500,,Engaging,2017-02-07,327,26768,,unknown,26768.00,180+ Days,stale_or_review
S6645YWA,Kami Bicknell,Summer Sewald,West,GTX Basic,Y-corporation,Engaging,2017-02-07,327,550,,unknown,550.00,180+ Days,stale_or_review
B5A1BERF,Kami Bicknell,Summer Sewald,West,GTXPro,Umbrella Corporation,Engaging,2017-02-07,327,,,unknown,0.00,180+ Days,stale_or_review
IEAPJ5X1,Maureen Marcano,Summer Sewald,West,GTX Plus Basic,,Engaging,2017-02-07,327,1096,,unknown,1096.00,180+ Days,stale_or_review
L2S4T3VA,Cassey Cress,Rocco Neubert,East,GTX Plus Pro,,Engaging,2017-02-08,326,5482,,unknown,5482.00,180+ Days,stale_or_review
AF8NG5JC,Cassey Cress,Rocco Neubert,East,MG Special,Betatech,Engaging,2017-02-08,326,55,,unknown,55.00,180+ Days,stale_or_review
IVJP36UT,Cassey Cress,Rocco Neubert,East,MG Advanced,,Engaging,2017-02-08,326,3393,,unknown,3393.00,180+ Days,stale_or_review
9A9E1KPG,Elease Gluck,Celia Rouche,West,GTX Basic,Genco Pura Olive Oil Company,Engaging,2017-02-08,326,550,,unknown,550.00,180+ Days,stale_or_review
TF19VML9,Kami Bicknell,Summer Sewald,West,GTX Plus Basic,,Engaging,2017-02-08,326,1096,,unknown,1096.00,180+ Days,stale_or_review
ZHXIDZNI,Kary Hendrixson,Summer Sewald,West,GTXPro,,Engaging,2017-02-08,326,,,unknown,0.00,180+ Days,stale_or_review
5P3NH791,Boris Faz,Rocco Neubert,East,MG Advanced,Golddex,Engaging,2017-02-10,324,3393,,unknown,3393.00,180+ Days,stale_or_review
X3ZSQCH8,Kami Bicknell,Summer Sewald,West,GTX Basic,Scotfind,Engaging,2017-02-10,324,550,,unknown,550.00,180+ Days,stale_or_review
5BXUKFPR,James Ascencio,Summer Sewald,West,GTX Plus Pro,,Engaging,2017-02-11,323,5482,,unknown,5482.00,180+ Days,stale_or_review
8AJG1YLJ,Kary Hendrixson,Summer Sewald,West,GTX Basic,,Engaging,2017-02-11,323,550,,unknown,550.00,180+ Days,stale_or_review
5RNWV17L,Rosalina Dieter,Celia Rouche,West,MG Advanced,Golddex,Engaging,2017-02-11,323,3393,,unknown,3393.00,180+ Days,stale_or_review
LXM6CTMS,Hayden Neloms,Celia Rouche,West,GTX Plus Basic,,Engaging,2017-02-12,322,1096,,unknown,1096.00,180+ Days,stale_or_review
VXMFL425,James Ascencio,Summer Sewald,West,GTX Basic,Faxquote,Engaging,2017-02-12,322,550,,unknown,550.00,180+ Days,stale_or_review
E887HZT1,Rosalina Dieter,Celia Rouche,West,MG Advanced,Cheers,Engaging,2017-02-12,322,3393,,unknown,3393.00,180+ Days,stale_or_review
CGJ7NRZH,Violet Mclelland,Cara Losch,East,MG Special,,Engaging,2017-02-12,322,55,,unknown,55.00,180+ Days,stale_or_review
SWJ9OOZU,Hayden Neloms,Celia Rouche,West,MG Advanced,Opentech,Engaging,2017-02-13,321,3393,,unknown,3393.00,180+ Days,stale_or_review
B06D1F9M,Vicki Laflamme,Celia Rouche,West,GTXPro,Faxquote,Engaging,2017-02-13,321,,,unknown,0.00,180+ Days,stale_or_review
OZ761BUJ,Violet Mclelland,Cara Losch,East,GTX Basic,,Engaging,2017-02-13,321,550,,unknown,550.00,180+ Days,stale_or_review
SCS5H8V1,Markita Hansen,Celia Rouche,West,GTK 500,Vehement Capital Partners,Engaging,2017-02-14,320,26768,,unknown,26768.00,180+ Days,stale_or_review
81MXE1H7,Markita Hansen,Celia Rouche,West,MG Advanced,Bioholding,Engaging,2017-02-14,320,3393,,unknown,3393.00,180+ Days,stale_or_review
W24IDMVV,Corliss Cosme,Cara Losch,East,GTX Plus Pro,,Engaging,2017-02-15,319,5482,,unknown,5482.00,180+ Days,stale_or_review
JQA8H6M5,Kami Bicknell,Summer Sewald,West,GTX Plus Pro,,Engaging,2017-02-15,319,5482,,unknown,5482.00,180+ Days,stale_or_review
92G1TO7L,Kary Hendrixson,Summer Sewald,West,GTX Basic,,Engaging,2017-02-15,319,550,,unknown,550.00,180+ Days,stale_or_review
FW2XJG9S,Markita Hansen,Celia Rouche,West,GTX Plus Basic,,Engaging,2017-02-15,319,1096,,unknown,1096.00,180+ Days,stale_or_review
SVCKI631,Maureen Marcano,Summer Sewald,West,GTX Basic,,Engaging,2017-02-15,319,550,,unknown,550.00,180+ Days,stale_or_review
VJ5QGP8Z,Maureen Marcano,Summer Sewald,West,MG Advanced,,Engaging,2017-02-15,319,3393,,unknown,3393.00,180+ Days,stale_or_review
R2W96FGX,Zane Levy,Summer Sewald,West,GTX Basic,,Engaging,2017-02-15,319,550,,unknown,550.00,180+ Days,stale_or_review
KM1D04JS,James Ascencio,Summer Sewald,West,GTX Plus Basic,,Engaging,2017-02-16,318,1096,,unknown,1096.00,180+ Days,stale_or_review
BNY8MJ6L,Kary Hendrixson,Summer Sewald,West,GTX Basic,Labdrill,Engaging,2017-02-16,318,550,,unknown,550.00,180+ Days,stale_or_review
INBGKE14,Kary Hendrixson,Summer Sewald,West,GTXPro,,Engaging,2017-02-16,318,,,unknown,0.00,180+ Days,stale_or_review
5KK2SSSB,Rosie Papadopoulos,Cara Losch,East,GTX Basic,,Engaging,2017-02-16,318,550,,unknown,550.00,180+ Days,stale_or_review
V3HVIJLL,Zane Levy,Summer Sewald,West,GTX Basic,,Engaging,2017-02-16,318,550,,unknown,550.00,180+ Days,stale_or_review
AMNKCM1H,Elease Gluck,Celia Rouche,West,MG Special,Betasoloin,Engaging,2017-02-17,317,55,,unknown,55.00,180+ Days,stale_or_review
84LN84VM,Vicki Laflamme,Celia Rouche,West,MG Advanced,,Engaging,2017-02-17,317,3393,,unknown,3393.00,180+ Days,stale_or_review
MU7JWTP6,Cassey Cress,Rocco Neubert,East,MG Special,,Engaging,2017-02-18,316,55,,unknown,55.00,180+ Days,stale_or_review
9HRMW8SL,Daniell Hammack,Rocco Neubert,East,MG Special,,Engaging,2017-02-19,315,55,,unknown,55.00,180+ Days,stale_or_review
WJQ8VD51,Kami Bicknell,Summer Sewald,West,GTX Basic,Faxquote,Engaging,2017-02-19,315,550,,unknown,550.00,180+ Days,stale_or_review
1WHXI2RW,Markita Hansen,Celia Rouche,West,GTX Plus Basic,,Engaging,2017-02-19,315,1096,,unknown,1096.00,180+ Days,stale_or_review
G5JP0G7Q,Markita Hansen,Celia Rouche,West,MG Advanced,,Engaging,2017-02-19,315,3393,,unknown,3393.00,180+ Days,stale_or_review
